Site_ID,Issue,Source_File
970,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
2000,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
2820,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
3001,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
3002,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
3127,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
3682,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
3685,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
4057,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
4262,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
4263,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
4264,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
4272,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
4812,Very poor data / Removed on selected days,../Raw/Scats Data October 2006-1.csv
