Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2678,ALFRIEDA NR MAIN EAST,FLASH PX,Melway,26A01,,,,
6322,ALLAN NR ALBION,FLASH PX,VicRoads,269O09,,,,
6323,ALLAN NR LAKE,FLASH PX,VicRoads,269011,,,,
2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,Melway,027E02,,,,
2578,AQUATIC DR NR ROSAMOND RD,FLASH PX,Melway,028A10,,,,
2549,AQUATIC NR ROSAMOND,FLASH PX,Melway,Unknown,,,,
5247,AVIATION NR RAILWAY (TRIHOLM),FLASH PX,Melway,053B10,,,,
5160,BACCHUS MARSH/GISBORNE(ROBERTSON),FLASH PX,VicRoads,636D07,,,,
2055,BAKER NR JOHNSON,FLASH PX,Melway,2H-D02,,,,
4724,BAY NR POOL,FLASH PX,Melway,2J-F04,,,,
3039,BEACH NR PRINCES,FLASH PX,Melway,2J-B07,,,,
184,BELGRAVE-GEM NR EMERALD RES,FLASH PX,Melway,127F03,,,,
6282,BENDIGO-REDESDALE NR MOLLISON,FLASH PX,VicRoads,607S07,,,,
2027,BENTONS NEAR DUNNS,FLASH PX,Unknown,Unknown,,,,
1082,BERWICK_BEACONSFIELD NR GLOUCESTER,FLASH PX,Unknown,111D07,,,,
3902,BLACKSHAWS NR BEGONIA,FLASH PX,Melway,055C01,,,,
1319,BOURKE STREET NR SPRING STREET,FLASH PX,Unknown,Unknown,,,,
1318,BOURKE STREET NR SPRING STREET,FLASH PX,Unknown,Unknown,,,,
672,BRADY NR SHALIMAR,FLASH PX,Melway,081D10,,,,
4442,BRAY NR GREY,FLASH PX,Melway,2L-J09,,,,
1231,BROADWAY NTH OF GLENHUNTLY RD,FLASH PX,Melway,Unknown,,,,
5046,Bromfield St Nr Gelibrand Street,FLASH PX,VicRoads,263P04,,,,
2780,BUCKLEY NR PHW,FLASH PX,Melway,041K05,,,,
3521,BULLA NR CARNARVON,FLASH PX,Melway,028F01,,,,
5174,CARTWRIGHT NR KELLIHER,FLASH PX,Unknown,Unknown,,,,
1375,CHANDLER NR GENISTA,FLASH PX,Unknown,Unknown,,,,
877,CHANDLER ROAD / KMART,FLASH PX,Melway,65 A09,,,,
2521,CHARLES ST NR VICTORIA ST,FLASH PX,Melway,2SB11,,,,
3548,CHURCH NR CARPENTER,FLASH PX,Melway,067E11,,,,
3547,CHURCH NR ST ANDREWS,FLASH PX,Melway,067E11,,,,
4719,CLARENDON NR HUNTINGDALE,FLASH PX,Melway,069J11,,,,
1252,COLBY NR BELGRAVE-HALLAM,FLASH PX,Unknown,Unknown,,,,
1062,COLLEGE NR CEMETERY,FLASH PX,Melway,2B-C04,,,,
3460,COLLINS BTW SPENCER & KING,FLASH PX,Melway,2FA06,,,,
6809,COMMERCIAL NR HIGH,FLASH PX,VicRoads,510D08,,,,
3717,COMO PDE WEST NR BIRDWOOD,FLASH PX,Melway,087C09,,,,
5604,DESAILLY NR CUNNINGHAME,FLASH PX,VicRoads,345N06,,,,
3418,DORCAS NR ST LUKE,FLASH PX,Melway,2K-D02,,,,
945,DOUGLAS NR BUCKLEY,FLASH PX,Melway,089F02,,,,
946,DOUGLAS NR FRANK,FLASH PX,Melway,089E01,,,,
4968,DOUGLAS NR STEVEDORE,FLASH PX,Melway,056C08,,,,
5166,DROUIN-WARRAGUL/DROUIN-KORUMBURRA,FLASH PX,VicRoads,706 F7,,,,
5165,DRYSDALE-ST LEONARDS RD NTH OF BLANCHE,FLASH PX,Unknown,Unknown,,,,
2667,EAST ESPLANADE NR POWER,FLASH PX,Melway,013J09,,,,
5818,EASTWOOD NR ANDERSON,FLASH PX,VicRoads,257N13,,,,
6334,ECHUCA-MOOROOPNA NR ANN,FLASH PX,VicRoads,272C12,,,,
2590,ELEANOR NR STANLAKE,FLASH PX,Melway,041K02,,,,
6401,ELIZABETH NR AMOS,FLASH PX,VicRoads,Unknown,,,,
1060,ELIZABETH NR PELHAM,FLASH PX,Melway,2B-B08,,,,
760,ERAMOSA NR FRANK-FLINDERS,FLASH PX,Melway,107F12,,,,
3256,ESPLANADE BTW PIER/BENT,FLASH PX,Melway,54H11,,,,
4973,EVANS NR STATION,FLASH PX,Melway,382D04,,,,
3525,FERGUSON BTW LYONS/BATH,FLASH PX,Melway,056C08,,,,
4969,FERGUSON NR CECIL,FLASH PX,Melway,056C08,,,,
2950,FLINDERS LANE nr KING ST,FLASH PX,Melway,2FB06,,,,
3716,FLORENCE NR BAKERY LANE,FLASH PX,Melway,086K06,,,,
380,FOREST NR ALPINE,FLASH PX,Melway,074C03,,,,
883,FOREST NR CONYERS,FLASH PX,Melway,065G08,,,,
758,FRANK-FLIND NR ERAMOSA,FLASH PX,Melway,107E12,,,,
6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX,VicRoads,342H08,,,,
4509,FRANKLIN NR QUEEN,FLASH PX,Melway,2F-B01,,,,
3966,FRANKLIN NR QUEEN,FLASH PX,Melway,2FC01,,,,
3249,GAP/HORNE (WEST SIDE HORNE),FLASH PX,Melway,382D04,,,,
6639,GEORGE NR MOORE,FLASH PX,VicRoads,338J07,,,,
6306,GISBORNE-KILMORE NR SUNBURY-RIDDELLS,FLASH PX,VicRoads,635Q11,,,,
2855,GLADSTONE PARK NR BELMONT,FLASH PX,Melway,005K10,,,,
2484,GLENFERRIE NR JOHNSON,FLASH PX,Melway,045D09,,,,
2673,GLENGALA BTN SIMMIE & OLDFIELD,FLASH PX,Melway,040E02,,,,
4839,GLENHUNTLY NR BROADWAY,FLASH PX,Melway,067B03,,,,
1232,"GLENHUNTLY RD , WEST OF BROADWAY",FLASH PX,Melway,Unknown,,,,
5941,GRAY ST NR BROWN ST,FLASH PX,VicRoads,230G08,,,,
5124,Great Ocean Rd Nr Mc Laren Pde,FLASH PX,VicRoads,264D10,,,,
5122,GREAT OCEAN ROAD nr HARDY,FLASH PX,VicRoads,264D09,,,,
6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX,VicRoads,342J07,,,,
2648,HAMPSHIRE NR HARVESTER,FLASH PX,Melway,026H12,,,,
4713,HANOVER NR PORTMAN           C,FLASH PX,Melway,069G08,,,,
1239,HEATHERHILL NR HILLCREST,FLASH PX,Melway,102 H6,,,,
956,HEMMINGS NR WILMA,FLASH PX,Melway,090B06,,,,
875,HIGH NR PINE,FLASH PX,Unknown,Unknown,,,,
1049,HIGH NR PINE (250M),FLASH PX,Melway,064F04,,,,
762,HIGH NR VICTORIA & KING,FLASH PX,Melway,154J11,,,,
874,HIGH STREET NR BAYSWATER VILLAGE,FLASH PX,Melway,64 F04,,,,
2056,HIGHETT NR GARDNER,FLASH PX,Melway,044G09,,,,
4871,HIGHETT NR SPRING,FLASH PX,Melway,077C08,,,,
3248,HORNE/GAP (NORTH SIDE GAP),FLASH PX,Melway,382D04,,,,
4970,HUDSONS NR FORREST,FLASH PX,Melway,041K12,,,,
3433,HYDE NR SCHILD,FLASH PX,Melway,042C09,,,,
5660,JOHNSON NR PEARSON,FLASH PX,VicRoads,346F05,,,,
2989,KAVANAGH BTW POWER & SOUTHBANK,FLASH PX,Melway,1DQ06,,,,
4309,KEILOR NR RYDER,FLASH PX,Melway,016A10,,,,
3008,KILBY NR BELFORD,FLASH PX,Melway,045G02,,,,
3867,LENNOX NR RICHMOND TCE,FLASH PX,Melway,2G-J08,,,,
4752,LITTLE CHAPEL NR KING,FLASH PX,Melway,2L-J11,,,,
4438,LITTLE CHAPEL NR PRINCES,FLASH PX,Melway,2L-J11,,,,
2943,LIVINGSTONE NR WATERDALE,FLASH PX,Melway,031E07,,,,
3885,LOUISA NR VICTORIA,FLASH PX,Melway,029H01,,,,
6278,LYTTLETON NR MITCHELL,FLASH PX,VicRoads,283L14,,,,
4485,MACAULAY NR LANGFORD,FLASH PX,Melway,2A-C05,,,,
3474,MAHER NR THOMAS,FLASH PX,Melway,053D10,,,,
5804,MAIN NR GISBORNE,FLASH PX,Melway,333J07,,,,
5805,MAIN NR GRAHAM,FLASH PX,Melway,333J07,,,,
183,MAIN NR KILVINGTON,FLASH PX,Melway,127F04,,,,
3497,MAIN NR MAHONEY,FLASH PX,Melway,Unknown,,,,
1194,MAIN NR MONBULK,FLASH PX,Melway,Unknown,,,,
922,MAIN NR MT PLEASANT,FLASH PX,Melway,124H01,,,,
3351,MAIN NR PARKER,FLASH PX,Melway,185K08,,,,
3949,MARTIN NR SPINK,FLASH PX,Melway,067G07,,,,
5128,MARYBOROUGH-DUNOLLY,FLASH PX,VicRoads,222H09,,,,
1097,MASON NR MIRLS,FLASH PX,Melway,055J04,,,,
2672,MCKECHNIE BTN MARSDEN & ENA,FLASH PX,Melway,026A01,,,,
4977,MELBOURNE AIRPORT NR INTERNATIONAL TERM.,FLASH PX,Melway,005B05,,,,
4977,MELBOURNE AIRPORT NR INTERNATIONAL TERM.,FLASH PX,Melway,005B05,,,,
4650,MENTONE NR FLORENCE,FLASH PX,Melway,087A06,,,,
957,MENZIES NR CHIFLEY,FLASH PX,Melway,090C02,,,,
958,MENZIES NR CURTIN,FLASH PX,Melway,090C02,,,,
156,MERRINDALE NR CENTREWAY,FLASH PX,Melway,051A08,,,,
3475,MERTON NR CENTRAL,FLASH PX,Melway,53F12,,,,
3857,MILTON NR TOORONGA,FLASH PX,Melway,059F06,,,,
6638,MOE-GLENGARRY(LLOYD) NR FOWLER,FLASH PX,VicRoads,338J08,,,,
3648,MORWELL nr WATSONIA,FLASH PX,Melway,020D03,,,,
3648,MORWELL nr WATSONIA,FLASH PX,Melway,020D03,,,,
562,MOUNTAIN GATE NR ADELE,FLASH PX,Melway,073H03,,,,
882,MOUNTAIN HWY NR FOREST,FLASH PX,Melway,Unknown,,,,
3523,MT ALEXANDER NR FLETCHER,FLASH PX,Melway,028G04,,,,
3609,MT ALEXANDER NR GLASS,FLASH PX,Melway,028F01,,,,
3608,MT ALEXANDER NR LEAKE,FLASH PX,Melway,028F02,,,,
3522,MT ALEXANDER NR NAPIER,FLASH PX,Melway,028G04,,,,
3607,MT ALEXANDER NR WINIFRED,FLASH PX,Melway,028F01,,,,
732,MT ELIZA NR DAVIES,FLASH PX,Melway,105F01,,,,
837,MT ELIZA WAY NR CANADIAN BAY,FLASH PX,Melway,105F01,,,,
2758,NEERIM NR HOBART,FLASH PX,Melway,069A05,,,,
2199,NELSON NR THAMES,FLASH PX,Melway,47C08,,,,
4137,NEWLANDS NR CARR,FLASH PX,Melway,017K09,,,,
5670,NICHOLSON BTN RAYMOND & LOCHIEL,FLASH PX,VicRoads,351M10,,,,
4151,NICHOLSON NR VERE,FLASH PX,Melway,2C-K10,,,,
3759,NORTH NR HALL,FLASH PX,Melway,055K04,,,,
6315,NORTHERN HWY BTN FRASER/GILLIES,FLASH PX,VicRoads,595O10,,,,
4843,ORMOND RD NR BEACH,FLASH PX,Melway,067C03,,,,
3420,ORMOND RD NR BYRNE,FLASH PX,Melway,067B03,,,,
3422,ORMOND RD NR DOCKER,FLASH PX,Melway,067C04,,,,
4842,ORMOND RD NR GLEN HUNTLY,FLASH PX,Melway,067B03,,,,
3423,ORMOND RD NR PINE,FLASH PX,Melway,067C04,,,,
3421,ORMOND RD NR VAUTIER,FLASH PX,Melway,067C03,,,,
3251,O'SHANASSY NR STATION,FLASH PX,Melway,382E04,,,,
402,O'SULLIVAN NR GLENWAY ARCADE,FLASH PX,Melway,071C02,,,,
566,PATRICK NORTHEAST NR MAGID,FLASH PX,Melway,110C4,,,,
1295,PLAYNE NR THOMPSON,FLASH PX,Melway,100AC08,,,,
978,POINT NEPEAN NR FITZJOHNS,FLASH PX,Melway,156F02,,,,
3505,QUEEN NR SARGOOD,FLASH PX,Melway,054H11,,,,
838,RAILWAY NR BLACKBURN,FLASH PX,Melway,047K10,,,,
899,RAILWAY NR LOIS,FLASH PX,Melway,050C07,,,,
839,RAILWAY NR STATION,FLASH PX,Melway,047K10,,,,
6455,RANFURLY NR CALDER HWY,FLASH PX,VicRoads,537N10,,,,
3444,RATHDOWNE ST NEAR RICHARSON ST,FLASH PX,Melway,029 K12,,,,
6684,SEYMOUR BTN FRANKLIN & CHURCH,FLASH PX,VicRoads,342H08,,,,
2759,SIR JOHN MONASH NR DERBY,FLASH PX,Melway,068E01,,,,
2398,SIR JOHN MONASH NR QUEENS,FLASH PX,Melway,068F01,,,,
4684,SOUTH NR WASTELL,FLASH PX,Melway,030H10,,,,
840,SOUTH PARADE NR MAIN,FLASH PX,Melway,047K10,,,,
870,STATION NR CARRUM RAIL STATION,FLASH PX,Melway,097D07,,,,
3854,STATION NR CLAREMONT,FLASH PX,Melway,059C10,,,,
3679,STATION NR GLENFERRIE,FLASH PX,Melway,059B10,,,,
2218,STATION NR WOOD,FLASH PX,Melway,048F10,,,,
