Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2453,JOHNSTON ST O/H LANE E BUDD    GANTRY 03,O/H LANE,Melway,2C-E07,,,,
2466,JOHNSTON ST O/H LANE E CLARKE  GANTRY 16,O/H LANE,Melway,2D-C08,,,,
2455,JOHNSTON ST O/H LANE E GOLD    GANTRY 05,O/H LANE,Melway,2C-F07,,,,
2458,JOHNSTON ST O/H LANE E HODDLE  GANTRY 08,O/H LANE,Melway,2C-J08,,,,
2462,JOHNSTON ST O/H LANE E HUNTER  GANTRY 12,O/H LANE,Melway,2C-K08,,,,
2460,JOHNSTON ST O/H LANE E PARK    GANTRY 10,O/H LANE,Melway,2C-J08,,,,
2461,JOHNSTON ST O/H LANE E RICH    GANTRY 11,O/H LANE,Melway,2C-K08,,,,
2464,JOHNSTON ST O/H LANE E TRENERRY       14,O/H LANE,Melway,2D-B08,,,,
2454,JOHNSTON ST O/H LANE E WELLINGTON     04,O/H LANE,Melway,2C-F07,,,,
2451,JOHNSTON ST O/H LANE W BEDFORD GANTRY 01,O/H LANE,Melway,2C-E11,,,,
2452,JOHNSTON ST O/H LANE W BUDD    GANTRY 02,O/H LANE,Melway,2C-E07,,,,
2465,JOHNSTON ST O/H LANE W CLARKE  GANTRY 15,O/H LANE,Melway,2D-B08,,,,
2456,JOHNSTON ST O/H LANE W HARMSWORTH     06,O/H LANE,Melway,2C-G08,,,,
2459,JOHNSTON ST O/H LANE W PARK    GANTRY 09,O/H LANE,Melway,2C-J08,,,,
2457,JOHNSTON ST O/H LANE W SYDNEY  GANTRY 07,O/H LANE,Melway,2C-H08,,,,
2463,JOHNSTON ST O/H LANE W TRENERRY       13,O/H LANE,Melway,2D-A08,,,,
3458,JOHNSTON ST O'HEAD SIGNALS - MASTER,O/H LANE,Melway,044CF4,,,,
1600,MONASH FWY IB 1KM W OF TOORAK,O/H LANE,Unknown,Unknown,,,,
1606,MONASH FWY IB 200M E OF TOORAK,O/H LANE,Unknown,Unknown,,,,
1603,MONASH FWY IB 200M W OF TOORAK,O/H LANE,Unknown,Unknown,,,,
1608,MONASH FWY IB 500M W OF BURKE,O/H LANE,Unknown,Unknown,,,,
1601,MONASH FWY IB 500M W OF TOORAK,O/H LANE,Unknown,Unknown,,,,
1616,MONASH FWY IB BURKE RD ONRAMP,O/H LANE,Unknown,Unknown,,,,
1618,MONASH FWY IB HIGH ST ONRAMP,O/H LANE,Unknown,Unknown,,,,
1609,MONASH FWY IB ON BURKE RD BRIDGE,O/H LANE,Unknown,Unknown,,,,
1614,MONASH FWY IB ON HIGH ST BRIDGE,O/H LANE,Unknown,Unknown,,,,
1613,MONASH FWY IB ON HIGH ST BRIDGE,O/H LANE,Unknown,Unknown,,,,
1611,MONASH FWY IB ON YORK ST PED BRIDGE,O/H LANE,Unknown,Unknown,,,,
1649,MONASH FWY IB TOORAK RD ONRAMP,O/H LANE,Unknown,Unknown,,,,
1605,MONASH FWY OB 200M E OF TOORAK,O/H LANE,Unknown,Unknown,,,,
1604,MONASH FWY OB 200M W OF TOORAK,O/H LANE,Unknown,Unknown,,,,
1607,MONASH FWY OB 500M W OF BURKE,O/H LANE,Unknown,Unknown,,,,
1602,MONASH FWY OB 500M W OF TOORAK,O/H LANE,Unknown,Unknown,,,,
1617,MONASH FWY OB BURKE RD ONRAMP,O/H LANE,Unknown,Unknown,,,,
1610,MONASH FWY OB ON BURKE RD BRIDGE,O/H LANE,Unknown,Unknown,,,,
1612,MONASH FWY OB ON YORK ST PED BRIDGE,O/H LANE,Unknown,Unknown,,,,
