Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1140,BAXTER-TOORADIN/FULTONS/HAWKINS,RBT MTR,Melway,107B4,,,,
3715,BOUNDARY/GOVERNOR  (ROUNDABOUT),RBT MTR,Melway,092J01,,,,
1214,BULLA/SOMERTON(GREEN ST),RBT MTR,Melway,177B08,,,,
2743,CALDER FREEWAY OFF RAMP/MCNAMARA,RBT MTR,Melway,015J10,,,,
1116,CRANBOURNE-FRANKSTON/WESTERN PORT,RBT MTR,Melway,132G11,,,,
3172,DANDENONG-HASTINGS/THOMPSONS,RBT MTR,Melway,128K08,,,,
2816,DIAMOND CREEK RD/GREENSBOROUGH HWY/CIVIC,RBT MTR,Melway,011B10,,,,
620,FRANKSTON-DANDENONG/THOMPSONS,RBT MTR,Melway,098K07,,,,
3913,GRIEVE/DOHERTYS,RBT MTR,Melway,054G01,,,,
1235,HEATHERTON/DOUGLAS/LIGHTWOOD,RBT MTR,Melway,8.90E+02,,,,
984,MAIN/FITZSIMONS,RBT MTR,Melway,021G10,,,,
6198,MCIVOR HWY/MYERS,RBT MTR,VicRoads,607T06,,,,
2169,MICKLEHAM/BROADMEADOWS DEV,RBT MTR,Melway,005K08,,,,
3506,MILLERS/KOROROIT CRK,RBT MTR,Melway,055A06,,,,
3623,PRINCESS NR WILLSMERE,RBT MTR,Melway,45C4,,,,
1213,SUNBURY/BULLA/WILDWOOD,RBT MTR,Melway,177D09,,,,
1159,SUNBURY/BULLA-DIGGERS REST,RBT MTR,Melway,176J05,,,,
2399,TODD/TODD CONNECTION,RBT MTR,Melway,056F01,,,,
2355,WARRIGAL/COMO,RBT MTR,Melway,087B08,,,,
