x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks,road_name,road_avg_aadt,efficiency_index,vs_average_pct
144.5600810118722,-37.96859843645064,45122,45324,42013,PRINCES FWY WB ON-RAMP FROM SOUTH RD,MIDBLOCK,On Ramp,PRINCES FWY ON-RAMP FROM SOUTH RD,7024,160 SOUTH ROADB 2500F,160 SOUTH-PRINCES OUT RAMP ON,APARX,Classification,Greater than 10 Years,18,1998,40,0,0.21,160 SOUTH ROADB 2500F,40.0,1.0,0.0
145.08861533591687,-37.881431265802966,55947,55189,52075,MONASH FWY OUTBOUND OFFRAMP TO WARRIGAL RD,INTERSECTION,Off Ramp,SVO_Map_LTD:838||SITE DESC: MONASH FWY OUTBOUND OFFRAMP TO WARRIGAL RD,7138,2000F 2070B,MONASH OUT-WARRIGAL RAMP OF,INDET,Freeway Data Station,Between 5 and 10 Years,10,2006,13000,0,0.0,2000F 2070B,5350.0,2.43,143.0
145.09005810042615,-37.88223080224172,38735,38966,36894,S.E.ARTERIAL OFF RAMP NW OF WARRIGAL RD,INTERSECTION,Off Ramp,S.E.ARTERIAL SEBD RAMPS & WARRIGAL RD,7138,2000F 2070B,MONASH OUT-WARRIGAL RAMP OF,TMVMT,Manual,Greater than 10 Years,19,1997,8400,640,0.08,2000F 2070B,5350.0,1.57,57.0
145.08861533591687,-37.881431265802966,23193,23092,54241,S.E.ARTERIAL ON RAMP NW OF WARRIGAL RD,INTERSECTION,On Ramp,S.E.ARTERIAL NWBD RAMPS & WARRIGAL RD,7138,2000F 2070B,MONASH OUT-WARRIGAL RAMP OF,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,2000F 2070B,5350.0,0.0,-100.0
145.22298071517417,-37.95776188405813,6407,6604,9101,MONASH FWY OFF RAMP SEBD TO STUD RD,INTERSECTION,Off Ramp,MONASH FWY OFF RAMP STO STUD RD,7144,2000F 2090B,MONASH OUT-STUD RAMP OF,MOTSV,Manual,Between 5 and 10 Years,9,2007,8600,830,0.1,2000F 2090B,5625.0,1.53,53.0
145.22330423725998,-37.9579024444604,47231,47125,47826,MONASH FWY SEBD OFF RAMP TO STUD RD,MIDBLOCK,Off Ramp,MONASH FWY SOFF RAMP TO STUD RD,7144,2000F 2090B,MONASH OUT-STUD RAMP OF,APARX,Classification,Greater than 10 Years,12,2004,8200,620,0.08,2000F 2090B,5625.0,1.46,46.0
145.2235757069876,-37.95798343989526,53235,53969,47694,OFFRAMP MONASH FWY W OF STUD RD (HISTORIC),INTERSECTION,Left Missing,MONASH FWY/STUD RD,7144,2000F 2090B,MONASH OUT-STUD RAMP OF,SCATS,Scats,Greater than 10 Years,16,2000,5700,0,0.0,2000F 2090B,5625.0,1.01,1.0
145.1738531058744,-37.91882765815228,50241,50448,48244,MONASH FWY OUTBOUND OFFRAMP TO WELLINGTON RD,INTERSECTION,Off Ramp,SVO_Map_LTD:847||SITE DESC: MONASH FWY OUTBOUND OFFRAMP TO WELLINGTON RD,7142,2000F 2290B,MONASH OUT-WELLINGTON RAMP OF,INDET,Freeway Data Station,Between 5 and 10 Years,10,2006,9100,0,0.0,2000F 2290B,4550.0,2.0,100.0
145.1699040448299,-37.91650586085533,24099,24399,20921,MONASH FWY SE BD THRU ONLY AT DIVERGE TO WELLINGTON RD,INTERSECTION,,SVO_Map_LTD:496||SITE DESC: WRR/STEEL CREEK BRIDGE NORTH NWCL,7142,2000F 2290B,MONASH OUT-WELLINGTON RAMP OF,INDET,Freeway Data Station,Greater than 10 Years,0,0,0,0,0.0,2000F 2290B,4550.0,0.0,-100.0
145.0399178427027,-37.84319319981852,33312,33296,4652,S.E.ARTERIAL NO of TOORAK RD,INTERSECTION,All Moves,SE ARTERIAL & TOORAK RD,7150,2000F 2750B,MONASH OUT-TOORAK RAMP OF,TMVMT,Manual,Greater than 10 Years,27,1989,43000,3400,0.08,2000F 2750B,18424.583333333332,2.33,133.0
