x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks
145.05552050592388,-37.77236692100448,7015,7315,11438,LOWER HEIDELBERG RD 10M AFTER RAVENSWOOD AVE,INTERSECTION,Scheduled PubTpt Bus flow,LOWER HEIDELBERG RD 10M AFTER RAVENSWOOD AVE,5762,MAIN HEIDELBERG-ELTHAM ROAD,LOWER HEIDELBERG ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
144.84957709466548,-37.72616130331927,7028,7328,7624,KEILOR PARK DR N of CALDER FWY WB OFF RAMP,INTERSECTION,All Moves,CALDER FWY WB OFF RAMP & KEILOR PARK DR,5054,KEILOR PARK DRIVE,KEILOR PARK DRIVE,TMVMT,Manual,Greater than 10 Years,19,1997,20000,1600,0.08
145.1401065970711,-37.990369286468635,7033,7333,26777,LOWER DANDENONG RD E OF CENTRE DANDENONG RD DEPARTURE,INTERSECTION,All Moves,CENTRE DANDENONG RD & LOWER DANDENONG RD DEP,2050,STATE (LOWER DANDENONG/CHELTENHAM) HIGHWAY,LOWER DANDENONG ROAD,TMVMT,Manual,Between 2 and 5 Years,3,2013,24000,1200,0.05
145.83924297457793,-37.530531389788074,7070,7370,24034,LAKE MOUNTAIN RD S BD 500M N OF MARYSVILLE-WOODS POINT RD @ 0.5KM FROM NORTH OF,MIDBLOCK,All Moves,LAKE MOUNTAIN RD 500M N OF MARYSVILLE-WOODS POINT RD @ 0.5KM FROM NORTH OF,4083,LAKE MOUNTAIN ROAD,LAKE MOUNTAIN ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,20,0,0.1
145.0699136597465,-37.78463159846671,7084,7384,21184,EFWY/BETWEEN BURKE RD & BULLEEN RD OUTBOUND,INTERSECTION,All Moves,SVO_Map_LTD:38||SITE DESC: EFWY/NEAR PHONE 310,9999,Missing Data,LIBRA STREET,INDET,Freeway Data Station,Less than 2 Years,1,2015,68000,0,0.0
145.04572239882555,-37.79138878204856,7152,7709,5790,KILBY RD AT PAGE AVE,INTERSECTION,Scheduled PubTpt Bus flow,KILBY RD AT PAGE AVE,9999,Missing Data,KILBY ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.03979544688204,-37.903872989891966,7214,7821,7124,KATANDRA RD N OF NORTH RD DEPARTURE,INTERSECTION,All Moves,KATANDRA RD N OF NORTH RD DEPARTURE,9999,Missing Data,KATANDRA ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.84409479735197,-37.8498554005917,7227,7228,28232,KOROROIT CREEK RD W BD W OF MILLERS RD,INTERSECTION,All Moves,KOROROIT CREEK RD W OF MILLERS RD,5833,KOROROIT CREEK ROAD,KOROROIT CREEK ROAD,APARX,Classification,Greater than 10 Years,13,2003,8700,0,0.0
145.0550379044035,-37.899862900154574,7233,7914,7123,KOORNANG RD N OF NORTH RD DEPARTURE,INTERSECTION,All Moves,KOORNANG RD N OF NORTH RD DEPARTURE,9999,Missing Data,KOORNANG ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.19075310189882,-37.955014702073115,7248,7632,6707,JACKSONS RD 40M OPP HALTON RD,INTERSECTION,Scheduled PubTpt Bus flow,JACKSONS RD 40M OPP HALTON RD,5170,JACKSONS ROAD,JACKSONS ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
144.9476055731491,-37.83453160673087,7252,7419,8892,CROCKFORD ST NE of INGLES ST,INTERSECTION,All Moves,CROCKFORD ST & INGLES ST,9999,Missing Data,INGLES STREET,TMVMT,Manual,Greater than 10 Years,28,1988,8400,670,0.08
145.069073649302,-37.7595830061945,7265,7234,11874,LOWER HEIDELBERG RD N OF BANKSIA ST,INTERSECTION,All Moves,BANKSIA ST/LOWER HEIDELBERG RD,2850,GREENSBOROUGH HIGHWAY,LOWER HEIDELBERG ROAD,SCATS,Scats,Between 5 and 10 Years,10,2006,15000,0,0.0
144.12577530045087,-35.633596096697126,7312,7838,20691,KERANG-KOONDROOK RD N BD 200M S OF MURRAY RIVER BRIDGE @ 25.6KM FROM KERANG,MIDBLOCK,All Moves,KERANG-KOONDROOK RD 200M S OF MURRAY RIVER BRIDGE @ 25.6KM FROM KERANG,5578,KERANG-KOONDROOK ROAD,KOONDROOK-MURRABIT ROAD,APARX,Classification,Less than 2 Years,1,2015,1600,170,0.1
145.37743250064165,-37.73501608315864,7322,7243,25407,INGRAM RD E OF MAROONDAH HWY,INTERSECTION,All Moves,MAROONDAH HWY & INGRAM RD,9999,Missing Data,INGRAM ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.97106131643434,-37.77547339918155,7324,7840,7097,LYGON ST N OF BRUNSWICK RD DEPARTURE,INTERSECTION,All Moves,LYGON ST N OF BRUNSWICK RD DEPARTURE,9999,Missing Data,LYGON STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.84955642384384,-37.726664002154976,7359,7437,7638,KEILOR PARK DR N of ELY CT,INTERSECTION,All Moves,ELY CT & KEILOR PARK DR & OLD CALDER HWY,5054,KEILOR PARK DRIVE,KEILOR PARK DRIVE,TMVMT,Manual,Greater than 10 Years,19,1997,15000,1400,0.09
144.98606901461707,-37.806593516529865,7369,7935,7100,WELLINGTON ST N OF VICTORIA PDE,INTERSECTION,All Moves,VICTORIA PDE & WELLINGTON ST,9999,Missing Data,LANGRIDGE STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.99604006045223,-37.81009300307469,7424,7748,6824,NICHOLSON ST N OF VICTORIA ST,INTERSECTION,All Moves,LENNOX ST & NICHOLSON ST & VICTORIA ST,9999,Missing Data,LENNOX STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.14176919858028,-37.99055617438324,7438,7852,7130,CENTRE DANDENONG RD N OF LOWER DANDENONG RD DEPARTURE,INTERSECTION,All Moves,CENTRE DANDENONG RD & LOWER DANDENONG RD DEP,2050,STATE (LOWER DANDENONG/CHELTENHAM) HIGHWAY,LOWER DANDENONG ROAD,TMVMT,Manual,Between 2 and 5 Years,3,2013,5000,260,0.05
143.9516665767165,-35.7032307587108,7456,7854,20665,KERANG-MURRABIT RD S BD 5.2KM N OF KERANG-KOONDROOK RD @ 6.9KM POST,MIDBLOCK,All Moves,KERANG-MURRABIT RD 5.2KM N OF KERANG-KOONDROOK RD @ 6.9KM POST,5332,KERANG-MURRABIT ROAD,KERANG-MURRABIT ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,200,20,0.14
145.05756201631695,-37.88659530177022,7472,7946,7362,KOORNANG RD N OF NEERIM RD,INTERSECTION,All Moves,KOORNANG RD & NEERIM RD,9999,Missing Data,KOORNANG ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.06824060504704,-37.94875452228406,7486,7115,10900,KEYS RD W BD W OF WARRIGAL RD,INTERSECTION,All Moves,KEYS RD W OF WARRIGAL RD,5313,WICKHAM-KEYS ROAD,KEYS ROAD,MOTSV,Manual,Greater than 10 Years,0,0,0,0,0.0
145.05236000528515,-37.772002077842544,7491,7755,6114,LOWER HEIDELBERG RD E BD BTWN HEIDELBERG RD & HARTLANDS RD,INTERSECTION,Scheduled PubTpt Bus flow,LOWER HEIDELBERG RD BTWN HEIDELBERG RD & HARTLANDS RD,5762,MAIN HEIDELBERG-ELTHAM ROAD,LOWER HEIDELBERG ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.01237968027965,-37.89966269931436,7519,7758,21092,KOOYONG RD N OF NORTH RD,INTERSECTION,All Moves,NORTH RD/KOOYONG RD,9999,Missing Data,KOOYONG ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,6600,0,0.0
145.18306791383424,-37.99559836625535,7556,7271,21122,KIRKHAM RD WEST W BD E OF CHANDLER RD,UNDEFINED,All Moves,KIRKHAM RD WEST E OF CHANDLER RD,9999,Missing Data,KIRKHAM ROAD,APARX,Classification,Greater than 10 Years,17,1999,2000,0,0.0
145.04171416058696,-37.918602897870095,7567,7674,13141,JASPER RD N OF CENTRE RD,INTERSECTION,All Moves,CENTRE RD/JASPER RD,5847,JASPER ROAD,JASPER ROAD,SCATS,Scats,Less than 2 Years,0,2016,0,0,0.0
145.0197728390924,-37.86089030534108,7570,7460,12561,KOOYONG RD N OF WATTLETREE RD,INTERSECTION,All Moves,KOOYONG RD/WATTLETREE RD,9999,Missing Data,KOOYONG ROAD,SCATS,Scats,Greater than 10 Years,13,2003,8600,0,0.0
144.9706260598018,-37.7787029926387,7574,7273,12100,LYGON_ST N OF PARK_ST,INTERSECTION,All Moves,LYGON ST NR PARK ST,9999,Missing Data,LYGON STREET,SCATS,Scats,Between 5 and 10 Years,7,2009,15000,0,0.0
