x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks
145.3567793910563,-37.83530880316434,7002,7302,29406,MT DANDENONG RD S BD SE OF UPALONG RD,INTERSECTION,All Moves,MT DANDENONG RD SE OF UPALONG RD,4991,MOUNT DANDENONG ROAD,MOUNT DANDENONG TOURIST ROAD,APARX,Classification,Greater than 10 Years,16,2000,1900,0,0.0
144.98884353329427,-37.82462879249984,7003,7303,22676,SWAN ST W BD E OF PUNT RD,INTERSECTION,All Moves,PUNT RD LEFT TURN TO SWAN ST OD:12,2080,HODDLE HIGHWAY,PUNT ROAD,MOTSV,Manual,Greater than 10 Years,23,1993,15000,630,0.04
145.03128102137524,-37.79410440077204,7009,7309,11632,PRINCESS ST N OF HUTCHINSON DR,INTERSECTION,All Moves,PRINCESS ST/DUKE ST/HUTCHINSON DR,5856,BURNLEY-KEW ROAD,PRINCESS STREET,SCATS,Scats,Between 2 and 5 Years,5,2011,17000,0,0.0
144.91848115187295,-37.683466980857325,7010,7310,22114,PASCOE VALE RD N BD NE OF DIMBOOLA RD,INTERSECTION,All Moves,PASCOE VALE RD NE OF DIMBOOLA RD,5819,PASCOE VALE ROAD,PASCOE VALE ROAD,APARX,Classification,Greater than 10 Years,22,1994,15000,0,0.0
145.13364213685088,-38.1531411885819,7011,7311,13918,MOOROODUC HWY N OF HASTINGS RD,INTERSECTION,Left Missing,MOOROODUC HWY/HASTINGS RD/MONASH UNI ENT,2860,MOOROODUC HIGHWAY,MOOROODUC HIGHWAY,SCATS,Scats,Less than 2 Years,0,2016,0,0,0.0
145.28815940981372,-37.78098180919204,7017,7317,27958,MAROONDAH HWY SWBD SW OF BONNIE VIEW RD,INTERSECTION,All Moves,MAROONDAH HWY NSW OF BONNIE VIEW RD,2720,MAROONDAH HIGHWAY,MAROONDAH HIGHWAY,MOTSV,Manual,Between 5 and 10 Years,10,2006,17000,800,0.05
145.0541164781652,-37.96049161239612,7019,7319,28274,NEPEAN HWY NWBD SE OF MAY ST,INTERSECTION,All Moves,NEPEAN HWY SE OF MAY ST,2660,NEPEAN HIGHWAY,NEPEAN HIGHWAY,MOTSV,Manual,Between 2 and 5 Years,5,2011,36000,1400,0.04
144.9774831717056,-37.74578329582307,7020,7320,9684,NICHOLSON ST N OF HARDING ST,INTERSECTION,All Moves,NICHOLSON ST/HARDING ST,5736,NICHOLSON STREET,NICHOLSON STREET,SCATS,Scats,Less than 2 Years,1,2015,0,0,0.0
145.11492923420516,-37.774293469668585,7023,7323,24388,MANNINGHAM RD SE OF HIGH ST,INTERSECTION,Left Missing,HIGH ST/MANNINGHAM RD,5221,MANNINGHAM ROAD,MANNINGHAM ROAD,SCATS,Scats,Between 5 and 10 Years,10,2006,14000,0,0.0
144.9851143392868,-37.84524400508531,7024,7324,13034,PUNT RD N OF COMMERCIAL RD,INTERSECTION,All Moves,PUNT RD/COMMERCIAL RD,2080,HODDLE HIGHWAY,PUNT ROAD,SCATS,Scats,Less than 2 Years,0,2016,18000,0,0.0
145.0457186953634,-37.848851992888434,7025,7325,21868,S.E.ARTERIAL E BD W OF TOORONGA RD,INTERSECTION,All Moves,TOORONGA RD LEFT TURN TO S.E.ARTERIAL OD:12,2000,MONASH FREEWAY,MONASH FREEWAY,MOTSV,Manual,Greater than 10 Years,23,1993,38000,3600,0.1
145.30686008920347,-38.025806900624765,7026,7326,7619,NARRE WARREN-CRANB N of PRINCES HWY,INTERSECTION,All Moves,NARRE WARREN-CRANB & PRINCES HWY,5940,NARRE WARREN NORTH ROAD,NARRE WARREN NORTH ROAD,TMVMT,Manual,Greater than 10 Years,23,1993,8100,0,0.0
145.04577404742474,-37.84869199180575,7032,7332,27864,S.E.ARTERIAL E OF TOORONGA_RD,UNDEFINED,All Moves,TOORONGA_RD N OF S.E.ARTERIAL,2000,MONASH FREEWAY,MONASH FREEWAY,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
