x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks
144.91338548196535,-37.83393391054194,7013,7313,28351,TODD RD SEBD SE OF WEST GATE FWY CONN,INTERSECTION,All Moves,WEST GATE FWY CONN NNE OF TODD RD,5609,TODD ROAD,TODD ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,11000,2200,0.2
145.0160658108261,-37.805651084377565,7016,7316,9899,STUDLEY PARK RD 50M AFTER HODGSON ST,INTERSECTION,Scheduled PubTpt Bus flow,STUDLEY PARK RD 50M AFTER HODGSON ST,5855,STUDLEY PARK ROAD,STUDLEY PARK ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.23640697125867,-37.86671289148455,7022,7322,28627,STUD_RD NE of KNOX CITY_ENT,INTERSECTION,Left Missing,STUD RD/SHOPPING CENTRE ACCESS,5796,STUD ROAD,STUD ROAD,SCATS,Scats,Greater than 10 Years,17,1999,21000,0,0.0
145.0396380024034,-37.84474647832166,7029,7329,22177,TOORAK RD THRU MVMNT TO TOORAK RD OD:31,INTERSECTION,Incomplete Through,S.E.ARTERIAL LEFT TURN TO TOORAK RD OD:41,5898,TOORAK ROAD,TOORAK ROAD,MOTSV,Manual,Greater than 10 Years,20,1996,6500,150,0.02
144.96405881303485,-37.79996229585033,7030,7330,9897,SWANSTON ST N BD BTWN GRATTAN ST & ELGIN ST,INTERSECTION,Scheduled PubTpt Bus flow,SWANSTON ST BTWN GRATTAN ST & ELGIN ST,9999,Missing Data,SWANSTON STREET,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.01115790274716,-37.803520991831114,7031,7331,11715,STUDLEY PARK RD AT WALMER ST,INTERSECTION,Scheduled PubTpt Bus flow,STUDLEY PARK RD AT WALMER ST,5855,STUDLEY PARK ROAD,STUDLEY PARK ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
145.17641463926648,-37.8158484984231,7050,7350,8270,SPRINGVALE RD N OF MAROONDAH HWY DEPARTURE,INTERSECTION,All Moves,SPRINGVALE RD N OF MAROONDAH HWY DEPARTURE,2400,STATE (BELL/SPRINGVALE) HIGHWAY,SPRINGVALE ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.12106461748155,-37.84422290357064,7052,7352,8565,STATION ST N OF ELEY RD,INTERSECTION,All Moves,STATION ST/ELEY RD,5320,STATION STREET,STATION STREET,SCATS,Scats,Greater than 10 Years,13,2003,15000,0,0.0
145.2417892000443,-38.07795519350088,7065,7365,24832,THOMPSONS RD E OF WESTERN PORT HWY DEPARTURE,INTERSECTION,All Moves,WESTERN PORT HWY N OF THOMPSONS RD DEPARTURE,5164,THOMPSON ROAD,THOMPSONS ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
145.1223480976762,-38.07471038620264,7066,7366,23291,MCLEOD RD E OF NEPEAN HWY DEPARTURE,INTERSECTION,All Moves,NEPEAN HWY N OF MCLEOD RD DEPARTURE,5164,THOMPSON ROAD,STATION STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
142.86157819744489,-35.97807535093586,7074,7374,21721,SUNRAYSIA HWY E BD 1.2 KM W OF SUNNYSIDE RD @339.0KM FROM MELBOURNE,MIDBLOCK,All Moves,SUNRAYSIA HWY 1.2 KM W OF SUNNYSIDE RD @339.0KM FROM MELBOURNE,2700,SUNRAYSIA HIGHWAY,SUNRAYSIA HIGHWAY,APARX,Classification,Between 2 and 5 Years,2,2014,180,20,0.13
145.33426061107943,-38.08943274185259,7079,7379,25049,THOMPSONS RD E BD E OF BERWICK-CRANBOURNE,INTERSECTION,All Moves,BERWICK-CRANBOURNE N OF THOMPSONS RD,9999,Missing Data,THOMPSONS ROAD,TMVMT,Manual,Greater than 10 Years,16,2000,190,20,0.15
142.86157819744489,-35.97807535093586,7085,7385,23640,SUNRAYSIA HWY W BD 1.2 KM W OF SUNNYSIDE RD @339.0KM FROM MELBOURNE,MIDBLOCK,All Moves,SUNRAYSIA HWY 1.2 KM W OF SUNNYSIDE RD @339.0KM FROM MELBOURNE,2700,SUNRAYSIA HIGHWAY,SUNRAYSIA HIGHWAY,APARX,Classification,Between 2 and 5 Years,2,2014,210,0,0.0
145.12725171873507,-37.798734297144605,7090,7390,27301,STATION ST S BD N OF BOXLEIGH GV,INTERSECTION,All Moves,STATION ST N OF BOXLEIGH GV,5320,STATION STREET,STATION STREET,MOTSV,Manual,Greater than 10 Years,18,1998,10000,350,0.03
144.8155021033619,-37.729984695417805,7093,7393,26317,SUNSHINE AV SE of GREEN GULLY RD,INTERSECTION,All Moves,GREEN GULLY RD & SUNSHINE AV & TAYLORS RD,5530,SUNSHINE AVENUE,SUNSHINE AVENUE,TMVMT,Manual,Greater than 10 Years,19,1997,13000,470,0.04
144.8831928669027,-37.78807359652792,7100,7400,11394,ROSAMOND RD N of BALLARAT RD,INTERSECTION,All Moves,BALLARAT RD & ROSAMOND RD,9999,Missing Data,ROSAMOND ROAD,TMVMT,Manual,Greater than 10 Years,22,1994,7500,0,0.0
145.0062842037947,-37.929585284476886,7122,7802,27716,SOUTH RD E of HAMPTON ST,INTERSECTION,All Moves,HAMPTON ST & SOUTH RD,5845,SOUTH ROAD,SOUTH ROAD,TMVMT,Manual,Greater than 10 Years,27,1989,10000,0,0.0
