"Caution:
   
"								
Raw, un-validated data by its very nature is unpredictable. No effort will be made to repair, filter or manipulate the data. Traffic light data from time to time will be unavailable due to road works, routine maintenance and or equipment failure. Equipment failure may include data that periodically over counts due to poor lane discipline. On average 10% of data is unusable. 								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Site Type								
INT	Intersection							
POS	Pedestrian Crossing							
FLASH PX	Pedestrian Crossing							
FIRE W/W	Fire Station exit							
RBT MTR	Round a bout							
FIRE SIG	Fire Station exit							
AMBU SIG	Ambulance exit							
RAMP MTR	Mamp Metering							
BUS SIG	Bus Signial							
TMP POS	Temporary Site							
O/H LANE	High Occupancy lane							
