					
		Total day of data validated			
Count of Date					
SCATS Number	Location	Total			
0970	HIGH STREET_RD E of WARRIGAL_RD	31			
	HIGH STREET_RD W of WARRIGAL_RD	30			
	WARRIGAL_RD N of HIGH STREET_RD	31			
	WARRIGAL_RD S of HIGH STREET_RD	31			
2000	BURWOOD_HWY E of WARRIGAL_RD	29			
	TOORAK_RD W of WARRIGAL_RD	29			
	WARRIGAL_RD N of TOORAK_RD	28			
	WARRIGAL_RD S of BURWOOD_HWY	28			
2200	MAROONDAH_HWY E of UNION_RD	31			
	MAROONDAH_HWY W of UNION_RD	31			
	UNION_RD N of MAROONDAH_HWY	31			
	UNION_RD S of MAROONDAH_HWY	31			
2820	EARL_ST SE of PRINCESS_ST	31			
	PRINCESS_ST S of CHANDLER_HWY	30			
2825	BURKE_RD S of EASTERN_FWY	31			
2827	BULLEEN_RD N of THOMPSONS_RD	31			
	BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS	31			
	OFFRAMP_EASTERN_FWY E of BULLEEN_RD	31			
	OFFRAMP_EASTERN_FWY W of BULLEEN_RD	31			
2846	HIGH_ST E OF S.E.ARTERIAL	31			
	HIGH_ST W OF WILLS_ST	31			
	S.E.ARTERIAL N OF HIGH_ST	31			
	WILLS_ST NW OF HIGH_ST	31			
3001	BARKERS_RD E of HIGH_ST	31			
	BARKERS_RD W of CHURCH_ST	31			
	CHURCH_ST SW of BARKERS_RD	2			
	HIGH_ST NE of BARKERS_RD	31			
3002	BARKERS_RD E of DENMARK_ST	26			
	BARKERS_RD W of DENMARK_ST	26			
	DENMARK_ST N of BARKERS_RD	26			
	POWER_ST S of BARKERS_RD	26			
3120	BURKE_RD N of CANTERBURY_RD	31			
	BURKE_RD S of CANTERBURY_RD	31			
	CANTERBURY_RD E of BURKE_RD	31			
	RATHMINES_RD W of BURKE_RD	31			
3122	CANTERBURY_RD E of STANHOPE_GV	31			
	CANTERBURY_RD W of STANHOPE_GV	31			
	STANHOPE_GV S of CANTERBURY_RD	31			
3126	CANTERBURY_RD E of WARRIGAL_RD	31			
	CANTERBURY_RD W of WARRIGAL_RD	31			
	WARRIGAL_RD S of CANTERBURY_RD	31			
3127	BALWYN_RD N of CANTERBURY_RD	26			
	CANTERBURY_RD E of BALWYN_RD	26			
	CANTERBURY_RD W of BALWYN_RD	26			
3180	BALWYN_RD S of DONCASTER_RD	31			
	DONCASTER_RD E of BALWYN_RD	31			
	DONCASTER_RD W of BALWYN_RD	31			
3662	HIGH_ST NE of PRINCESS_ST	31			
	HIGH_ST SW of DENMARK_ST	31			
	PRINCESS_ST N of HIGH_ST	31			
	STUDLEY PARK_RD W of PRINCESS_ST	31			
