Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
534,BELGRAVE-HALLAM/YOUNG (CFA),FIRE SIG,Melway,91H12,,,,
388,BORONIA/CFA FIRE STATION,FIRE SIG,Melway,064F09,,,,
2689,BOUNDARY/FAIRBAIRN/LITTLE BOUNDARY,FIRE SIG,Melway,4E+09,,,,
872,BURWOOD HWY/FIRE STATION,FIRE SIG,Melway,074F06,,,,
3359,MAIN HURSTBRIDGE RD NR GEORGE ST,FIRE SIG,Melway,012B06,,,,
116,MAROONDAH HWY/FIRE STATION,FIRE SIG,Melway,048F09,,,,
552,MCLEOD NR TENNYSON,FIRE SIG,Melway,9.7E+08,,,,
526,NARRE WARREN NTH RD/MEMORIAL DRV,FIRE SIG,Melway,108G08,,,,
1314,NARRE WARREN-CRANBOURNE NR HILLSMEADE,FIRE SIG,Melway,130D3,,,,
553,PHE/EMERGENCY SERVICES PREC.,FIRE SIG,Melway,215H04,,,,
3945,PLENTY NR BETHANY,FIRE SIG,Melway,183G11,,,,
1137,WILLIAMSONS STH OF SERPELLS (FIRE SIG),FIRE SIG,Unknown,Unknown,,,,
