Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2959,ATHERTON NR REGENT (OAK FIRE STATION),FIRE W/W,Melway,069G07,,,,
3779,BLYTH NR EDMENDS  (FIRE STATION),FIRE W/W,Melway,029H07,,,,
381,BURWOOD HWY/DOBSON (AMBULANCE DEPOT),FIRE W/W,Melway,073F02,,,,
3978,CAMP NR HARTLEY (FIRE STN),FIRE W/W,Melway,006K09,,,,
2777,CHILDS NR SUPPLY,FIRE W/W,Melway,009B02,,,,
2344,CLAYTON NR SYLVANDER (FIRE STN),FIRE W/W,Melway,079B06,,,,
2516,DROOP NR FOOTSCRAY FIRE ST,FIRE W/W,Melway,042B03,,,,
6076,GOULBURN VLY NR  NIXON        SHEPPARTON,FIRE W/W,VicRoads,273L08,,,,
4182,GRIMSHAW NR JESSOP,FIRE W/W,Melway,020H02,,,,
3944,HIGHBURY NR HARRISON (FIRE STN),FIRE W/W,Melway,060H07,,,,
4988,MAHONEYS NR THOMASTOWN FIRE,FIRE W/W,Melway,008F11,,,,
1250,MAROONDAH NR ANDERSON LILYDALE FIRE STAT,FIRE W/W,,,,,,
4929,MCINTYRE NR SUNSHINE (FIRE STN),FIRE W/W,Melway,026H09,,,,
4981,MELBOURNE NR BUNBURY   (FIRE STATION),FIRE W/W,Melway,056A06,,,,
2717,MILLEARA NR KEILOR FIRE STN,FIRE W/W,Melway,015E12,,,,
193,PHE NR FIFTH (FIRE STN),FIRE W/W,Melway,090B04,,,,
443,SPRINGVALE NR SVALE FIRE STN,FIRE W/W,Melway,088K03,,,,
2632,WESTERN NR GLENCAIRN   (FIRE STATION),FIRE W/W,Melway,025F08,,,,
