Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
964,ABBOTTS/CLELANDS DEVELOPMENTS,INT,Melway,095G08,,,,
968,ABBOTTS/GAINE/MONASH,INT,Melway,095K08,,,,
972,ABBOTTS/NATIONAL,INT,Melway,95J08,,,,
983,ABBOTTS/REMINGTON,INT,Melway,095G08,,,,
1053,ABBOTTSFORD/HAINES,INT,Melway,2A-G07,,,,
5300,ABERDEEN/PAKINGTON,INT,Melway,451J03,,,,
5302,ABERDEEN/SHANNON,INT,Melway,451G03,,,,
4975,AIRPORT DR/CENTRE RD,INT,Melway,005C05,,,,
1154,AITKEN/GRAND,INT,Unknown,Unknown,,,,
4234,ALBERT/BUCKLEY,INT,Melway,042C05,,,,
4911,ALBERT/CECIL/OLD AUGHTIE,INT,Melway,2K-D06,,,,
4912,ALBERT/CLARENDON,INT,Melway,2K-E05,,,,
4447,ALBERT/CLARENDON,INT,Melway,2G-D01,,,,
3265,ALBERT/DUNDAS/STATION,INT,Melway,031A04,,,,
4445,ALBERT/GISBORNE,INT,Melway,2F-K01,,,,
3263,ALBERT/GOWER,INT,Melway,019A12,,,,
4243,ALBERT/IRVING,INT,Melway,042C05,,,,
4733,ALBERT/LAKESIDE DRV,INT,Melway,2K-F05,,,,
4446,ALBERT/LANSDOWNE,INT,Melway,2G-B01,,,,
4913,ALBERT/MORAY,INT,Melway,2K-F05,,,,
2294,ALBERT/MSAC ACCESS ROAD EXIT,INT,Melway,2KC7,,,,
3262,ALBERT/MURRAY,INT,Melway,019A12,,,,
4444,ALBERT/NICHOLSON/LONSDALE,INT,Melway,2F-J01,,,,
4448,ALBERT/POWLETT,INT,Melway,2G-E02,,,,
3264,ALBERT/RAGLAN,INT,Melway,031A03,,,,
4449,ALBERT/SIMPSON,INT,Melway,2G-F02,,,,
3260,ALBERT/TYLER,INT,Melway,019B10,,,,
3261,ALBERT/WOOD,INT,Melway,019B11,,,,
4552,ALEXANDRA/ANDERSON,INT,Melway,2G-E11,,,,
4549,ALEXANDRA/LINLITHGOW,INT,Melway,2F-K08,,,,
4550,ALEXANDRA/SWAN BRIDGE                 VM6,INT,Melway,2G-A08,,,,
4739,ALEXANDRA/WILLIAMS NTH,INT,Melway,2M-D03,,,,
4846,ALMA/WESTBURY,INT,Melway,058E09,,,,
2186,AMAROO/CRAIGIEBURN BYPASS NB EXIT R,INT,Melway,387C05,,,,
5045,ANAKIE (BELL POST SC),INT,Melway,431G12,,,,
5127,ANAKIE NR KINLOCK,INT,Melway,441F2,,,,
5099,ANAKIE/SEPARATION,INT,Melway,441F05,,,,
2642,ANDERSON RD/FOUNDRY RD,INT,Melway,026G10,,,,
4956,ANDERSON/DURHAM/GLENGALA,INT,Melway,040G01,,,,
4959,ANDERSON/FORREST/SUN/FRASER,INT,Melway,026G12,,,,
1299,ANDERSON/GARDINER,INT,Unknown,Unknown,,,,
149,ANDERSON/HARDY,INT,Melway,038F05,,,,
6084,ANDREW FAIRLEY/SPC CROSSING,INT,VicRoads,273O08,,,,
3665,APPLETON DOCK/ENTERPRIZE,INT,Unknown,Unknown,,,,
7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,Unknown,Unknown,,,,
6069,ARCHER/WILMOT/POPLAR,INT,VicRoads,273N13,,,,
6069,ARCHER/WILMOT/POPLAR,INT,VicRoads,273N13,,,,
4493,ARDEN/ABBOTSFORD,INT,Melway,2A-G08,,,,
4494,ARDEN/CURZON,INT,Melway,2A-H08,,,,
4492,ARDEN/DRYBURGH/MACAULAY,INT,Melway,2A-F08,,,,
4495,ARDEN/ERROL,INT,Melway,2A-J08,,,,
3947,ARDEN/LAURENS,INT,Melway,2AE08,,,,
3764,ARDEN/LLOYD,INT,Melway,Unknown,,,,
2198,ARNOLD/SPRING,INT,Melway,Unknown,,,,
2734,ARTHUR/TAYLORS,INT,Melway,014C09,,,,
1005,ASCOT VALE/GLADSTONE,INT,Melway,028J08,,,,
1011,ASCOT VALE/KENT,INT,Melway,028J11,,,,
