Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
768,ALBERT NR BAMBURY,POS,Melway,065C08,,,,
4440,ALBERT NR EADES,POS,Melway,2G-C01,,,,
3785,ALBION NR HOWARD,POS,Melway,029J06,,,,
3787,ALBION NR THISTLE,POS,Melway,029E05,,,,
5110,ANAKIE NR BARTON,POS,Melway,441F04,,,,
4555,ANDERSON NR ACLAND,POS,Melway,2L-D02,,,,
4945,ANDERSON NR RIDLEY,POS,Melway,026G12,,,,
1055,APPLETON DOCK LINK/ENTERPRIZE,POS,Melway,042J08,,,,
1168,AQUEDUCT RD NR ERINNE CT,POS,Melway,011G09,,,,
6210,ARNOLD NR STEWART,POS,VicRoads,281L12,,,,
6202,ARNOLD NR STEWART,POS,VicRoads,281L12,,,,
1013,ASCOT VALE NR EDINBURGH,POS,Melway,028H12,,,,
3832,ASCOT VALE NR MOONEE,POS,Melway,028J09,,,,
4690,ATHERTON NR DRUMMOND,POS,Melway,069F07,,,,
4276,AUBURN NR AIREDALE,POS,Melway,059F02,,,,
2848,AUBURN NR BURGESS,POS,Melway,059E03,,,,
4286,AUBURN NR CATO,POS,Melway,059E04,,,,
5157,BACCHUS MARSH-GEELONG NR STATION,POS,Melway,333H09,,,,
5800,BACCHUS-GISBORNE BTW MAIN & BENNETT,POS,Melway,333H06,,,,
4134,BAKERS NR CATHERINE,POS,Melway,017G08,,,,
2693,BALACLAVA NR EMPRESS,POS,Melway,058F11,,,,
4096,BALACLAVA NR KINROSS,POS,Melway,059A12,,,,
2691,BALACLAVA NR LABASSA,POS,Melway,058J12,,,,
3078,BALCOMBE BETWEEN BLUFF AND EBDEN,POS,Melway,85K04,,,,
4873,BALCOMBE NR COMO PDE WEST,POS,Melway,086K06,,,,
4865,BALCOMBE NR HAYDENS,POS,Melway,086C05,,,,
4870,BALCOMBE NR MICHAEL,POS,Melway,086F05,,,,
4619,BALCOMBE NR MOREY,POS,Melway,086E05,,,,
517,BALLARTO RD NR GREENWOOD,POS,Melway,100F06,,,,
4069,BALWYN NR MILLAH,POS,Melway,046D08,,,,
4098,BAMBRA NR BUNDEERA,POS,Melway,068B06,,,,
3363,BANKSIA NR MOUNT,POS,Melway,031K05,,,,
3338,BANYULE NR BEVERLEY,POS,Melway,20D12,,,,
3000,BARKERS NR FINDON,POS,Melway,045A09,,,,
3005,BARKERS NR KILDARE,POS,Melway,045H09,,,,
3434,BARKLY NR ALBERT,POS,Melway,042C04,,,,
4253,BARKLY NR ARGYLE,POS,Melway,041H03,,,,
4259,BARKLY NR CLARKE,POS,Melway,041H03,,,,
2999,BARKLY NR SHELLEY,POS,Melway,67A02,,,,
4246,BARKLY NR VICTORIA,POS,Melway,042B04,,,,
5841,BARKLY NR VINCENT,POS,VicRoads,226D08,,,,
6231,BARNARD NR WATERLOO,POS,VicRoads,607R05,,,,
3983,BARRY NR DUNSTAN,POS,Melway,007D04,,,,
2852,BARRYMORE NR ELGIN,POS,Melway,179B11,,,,
4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C,POS,Melway,2G-A08,,,,
973,BAXTER-TOORADIN NR PERYMAN,POS,Melway,140H06,,,,
2318,BAY NR JACK,POS,Melway,077F11,,,,
4863,BAY NR LANSELL,POS,Melway,077A10,,,,
2663,BAY NR LIARDET,POS,Melway,057C03,,,,
4862,BAY NR STATION,POS,Melway,076G10,,,,
3954,BAY NR WILLANSBY,POS,Melway,067G09,,,,
1364,BAY RD NR FERNHILL RD,POS,,,,,,
625,BAYSWATER NR BELMONT,POS,Melway,050G08,,,,
889,BAYSWATER NR GLEN PARK,POS,Melway,064G02,,,,
3714,BEACH NR ANTIBES,POS,Melway,087B10,,,,
4868,BEACH NR BALCOMBE,POS,Melway,085K04,,,,
3043,BEACH NR BAY & HIGH,POS,Melway,087D12,,,,
3033,BEACH NR BAYVIEW,POS,Melway,085J02,,,,
3037,BEACH NR BLUFF,POS,Melway,085J04,,,,
3543,BEACH NR CANBERRA,POS,Melway,2J-A06,,,,
3708,BEACH NR DIXON,POS,Melway,087A09,,,,
3040,BEACH NR HERBERT,POS,Melway,087C11,,,,
4869,BEACH NR MASEFIELD,POS,Melway,076H11,,,,
3031,BEACH NR MELROSE,POS,Melway,076G09,,,,
3035,BEACH NR NAPLES,POS,Melway,086K08,,,,
3709,BEACH NR NEPEAN,POS,Melway,092F01,,,,
3104,BEACH NR ORLANDO,POS,Melway,076E05,,,,
3087,BEACH NR RESERVE,POS,Melway,86C08,,,,
3029,BEACH NR SMALL,POS,Melway,076F06,,,,
3034,BEACH NR TRAMWAY PDE,POS,Melway,086D09,,,,
3093,"BEACH RD - NEW ST, BAYSIDE",POS,Melway,76 D4,,,,
3538,BEACONSFIELD NR HAROLD,POS,Melway,057G07,,,,
3539,BEACONSFIELD NR LANGRIDGE,POS,Melway,057H07,,,,
3014,BEACONSFIELD NR MCGREGOR,POS,Melway,057H07,,,,
3038,BEACONSFIELD NR MILLS,POS,Melway,2K-A12,,,,
3011,BEACONSFIELD NR VICTORIA,POS,Melway,2J-H10,,,,
904,BEDFORD NR LENA,POS,Melway,049K09,,,,
905,BEDFORD NR TAGGELL,POS,Melway,050A10,,,,
6158,BEECHWORTH NR NILMAR,POS,VicRoads,323P06,,,,
6158,BEECHWORTH NR NILMAR,POS,VicRoads,323P06,,,,
3075,BELL NR ALICE,POS,Melway,017F12,,,,
3083,BELL NR GILMOUR (UPFIELD RAILWAY),POS,Melway,17H12,,,,
152,BELL NR HERBERT  (YARRA GLEN),POS,Melway,275A02,,,,
3057,BELL NR JESSIE,POS,Melway,030E01,,,,
2946,BELL NR ORIEL & PLUNKETT,POS,Melway,031F03,,,,
5120,"Bellarine Hwy nr Murray Rd, Pt. Lonsdale",POS,Melway,500D01,,,,
5140,BELLARINE HWY NR PT LONSDALE,POS,Melway,,,,,
5167,BELLARINE HWY/RAIL TRAIL NR EARLS RD,POS,Melway,453 C11,,,,
5167,BELLARINE HWY/RAIL TRAIL NR EARLS RD,POS,Melway,453 C11,,,,
5218,BELLARINE NR NELSON,POS,Melway,452K10,,,,
5218,BELLARINE NR NELSON,POS,Melway,452K10,,,,
6102,BELMORE BTW ORR & PIPER,POS,VicRoads,668D08,,,,
4058,BELMORE NR ALANDALE,POS,Melway,046F05,,,,
4056,BELMORE NR BUCHANAN,POS,Melway,046C05,,,,
3932,BELMORE NR McCOLL,POS,Melway,047A05,,,,
3800,BELMORE NR UNION,POS,Melway,046J05,,,,
3936,BERESFORD NR EARLE,POS,Melway,046K09,,,,
4629,BERNARD NR CAVANAGH,POS,Melway,078A10,,,,
4628,BERNARD NR WINGROVE,POS,Melway,077K10,,,,
