Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1401,CITY LINK/GIBDON ENTRY,RAMP MTR,,,,,,
1403,CITYLINK/YARRA BVD EAST BD ENTRY,RAMP MTR,,,,,,
2833,EASTERN FWY/BURKE,RAMP MTR,,,,,,
2899,EASTERN FWY/DONCASTER RAMP I/B,RAMP MTR,,,,,,
1900,EASTERN FWY/THOMPSONS ON RAMP OB,RAMP MTR,,,,,,
536,MONASH FWY RAMP METERING/FTG I/B,RAMP MTR,,,,,,
539,MONASH FWY/BLACKBURN O/B,RAMP MTR,,,,,,
3675,MONASH FWY/HUNTINGDALE (ON RAMP O/B),RAMP MTR,,,,,,
878,MONASH FWY/JACKSONS (IB),RAMP MTR,,,,,,
603,MONASH FWY/STUD O/B RAMP,RAMP MTR,,,,,,
3674,MONASH FWY/WARRIGAL ON RAMP I/B,RAMP MTR,,,,,,
540,MONASH FWY/WELLINGTON IB,RAMP MTR,,,,,,
1127,MONASH/BELGRADE-HALLAM OB,RAMP MTR,,,,,,
1128,MONASH/BELGRAVE-HALLAM IB,RAMP MTR,,,,,,
3723,MONASH/BLACKBURN RAMP SIGNALS IB,RAMP MTR,,,,,,
2962,MONASH/BURKE IB,RAMP MTR,,,,,,
2963,MONASH/BURKE OB,RAMP MTR,,,,,,
1132,MONASH/CLYDE IB,RAMP MTR,,,,,,
1129,MONASH/ERNST WANKE IB,RAMP MTR,,,,,,
3724,MONASH/FORSTER I/B RAMP (RAMP MTR),RAMP MTR,,,,,,
3748,MONASH/FORSTER OB,RAMP MTR,,,,,,
1126,MONASH/HEATHERTON IB,RAMP MTR,,,,,,
1125,MONASH/HEATHERTON OB,RAMP MTR,,,,,,
2952,MONASH/HIGH IB,RAMP MTR,,,,,,
1115,MONASH/JACKSONS OB,RAMP MTR,,,,,,
1124,MONASH/NARRE WARREN NORTH IB,RAMP MTR,,,,,,
1130,MONASH/PHE IB,RAMP MTR,,,,,,
1106,MONASH/SPRINGVALE O/B,RAMP MTR,,,,,,
1131,MONASH/STUD I/B,RAMP MTR,,,,,,
2954,MONASH/TOORAK IB,RAMP MTR,,,,,,
2953,MONASH/TOORAK OB,RAMP MTR,,,,,,
3676,MONASH/WARRIGAL (ON RAMP O/B),RAMP MTR,,,,,,
3728,MONASH/WELLINGTON OB,RAMP MTR,,,,,,
2540,PFW/PHW ENTRY RAMP O/B,RAMP MTR,,,,,,
1135,SOUTH GIPPS FWY/POUND IB,RAMP MTR,,,,,,
1134,SOUTH GIPPS FWY/SOUTH GIPPS HWY IB,RAMP MTR,,,,,,
1136,STH GIPPSLAND FWY/PHE IB,RAMP MTR,,,,,,
1133,STH GIPPSLAND FWY/PHE OB,RAMP MTR,,,,,,
2523,WEST GATE FWY/MILLERS RD O/B,RAMP MTR,,,,,,
2522,WEST GATE FWY/WILLIAMSTOWN RD O/B,RAMP MTR,,,,,,
2541,WESTGATE FWY/GRIEVE I/B,RAMP MTR,,,,,,
2542,WESTGATE FWY/MILLERS I/B,RAMP MTR,,,,,,
1175,WESTGATE/PROHASKY (ON RAMP O/B),RAMP MTR,,,,,,
2443,WGF/POWER OB,RAMP MTR,,,,,,
2396,WGF/TODD OB,RAMP MTR,,,,,,
