x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks
144.25061355720683,-36.77931336633828,7001,7301,7656,CALDER HWY NE OF OAK ST,INTERSECTION,All Moves,CALDER HWY & OAK ST,2530,CALDER HIGHWAY,HIGH STREET,TMVMT,Manual,Greater than 10 Years,19,1997,7700,330,0.04
145.09047160989743,-37.703241461275354,7006,7306,27853,GRIMSHAW ST E of GREENSBOROUGH HWY,INTERSECTION,All Moves,GREENSBOROUGH HWY & GRIMSHAW ST,5811,HEIDELBERG-KINGLAKE ROAD,GRIMSHAW STREET,TMVMT,Manual,Greater than 10 Years,23,1993,21000,840,0.04
145.13363510253103,-38.129982500705566,7008,7308,26639,FRANKSTON DANDENON NE of SKYE RD,INTERSECTION,All Moves,FRANKSTON DANDENON & SKYE RD,7543,2840R 2090B,FRANKSTON IN-FRANKSTON-DANDENONG RAMP OF,TMVMT,Manual,Greater than 10 Years,22,1994,8400,0,0.0
145.1778972182547,-37.965568311293616,7027,7327,7690,HEATHERTON RD 50M OPP IAN ST,INTERSECTION,Scheduled PubTpt Bus flow,HEATHERTON RD 50M OPP IAN ST,5970,HEATHERTON ROAD,HEATHERTON ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
144.782015607658,-37.84381320242992,7043,7343,8502,FITZGERALD RD N OF KOROROIT CREEK RD,INTERSECTION,All Moves,FITZGERALD RD/LEAKES RD/KOROROIT CREEK RD,5875,KEILOR-LAVERTON ROAD,FITZGERALD ROAD,SCATS,Scats,Between 5 and 10 Years,8,2008,13000,0,0.0
145.00133618692885,-37.94388929845978,7044,7344,8834,HAMPTON ST N OF BEACH RD,INTERSECTION,All Moves,BEACH RD/HAMPTON ST/BRIDGE ST,5314,HAMPTON STREET,HAMPTON STREET,SCATS,Scats,Greater than 10 Years,13,2003,4400,0,0.0
145.2435668997753,-38.108218678909004,7048,7348,29456,HALL RD E OF WESTERNPORT HWY DEPARTURE,INTERSECTION,All Moves,WESTERNPORT HWY N OF HALL RD DEPARTURE,9999,Missing Data,HALL ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.78817021044196,-37.820978465993306,7055,7355,25400,GILBERTSON RD E OF FITZGERALD RD,INTERSECTION,All Moves,FITZGERALD RD N OF GILBERTSON RD,9999,Missing Data,GILBERTSON ROAD,TMVMT,Manual,Greater than 10 Years,16,2000,2100,530,0.25
142.40201857927812,-36.24919670305312,7056,7356,23237,HENTY HWY S BD BTW BORUNG HWY (SEC 2) & BORUNG HWY (SEC 3),MIDBLOCK,All Moves,HENTY HWY BTW BORUNG HWY (SEC 2) & BORUNG HWY (SEC 3),2620,HENTY HIGHWAY,HENTY HIGHWAY,APARX,Classification,Between 5 and 10 Years,6,2010,690,210,0.31
144.88491646283796,-37.67771266087446,7058,7358,28757,FAWKNER ST NEBD NE OF MICKLEHAM RD,INTERSECTION,All Moves,MICKLEHAM RD N OF FAWKNER ST,9999,Missing Data,FAWKNER STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
