x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks
145.1242899077155,-37.81835521050534,7014,7314,28732,MAROONDAH HWY E BD E of STATION ST,INTERSECTION,All Moves,STATION ST N OF MAROONDAH HWY,2720,MAROONDAH HIGHWAY,WHITEHORSE ROAD,TMVMT,Manual,Greater than 10 Years,18,1998,19000,590,0.03
144.96113711393787,-37.766929850144955,7038,7338,29389,VICTORIA ST W BD W OF SYDNEY RD,INTERSECTION,All Moves,VICTORIA ST W OF SYDNEY RD,9999,Missing Data,VICTORIA STREET,APARX,Classification,Greater than 10 Years,15,2001,3700,0,0.0
144.88355160011562,-37.81241069769767,7042,7342,8579,WILLIAMSTOWN RD N OF SOMERVILLE RD,INTERSECTION,All Moves,WILLIAMSTOWN RD & SOMERVILLE RD,5822,WILLIAMSTOWN ROAD,WILLIAMSTOWN ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0
144.7546579338901,-37.762297558764594,7045,7345,21826,BALLARAT RD SE OF WESTWOOD DR,INTERSECTION,Left Missing,BALLARAT RD/WESTWOOD DR,2520,WESTERN HIGHWAY,WESTERN HIGHWAY,SCATS,Scats,Greater than 10 Years,11,2005,26000,0,0.0
145.6306698035031,-38.55327750432913,7068,7368,28704,DALYSTON-KORUMBURRA RD W BD 400M W OF KORUMBURRA-WONTHAGGI RD,MIDBLOCK,All Moves,DALYSTON-KORUMBURRA RD 400M W OF KORUMBURRA-WONTHAGGI RD,9999,Missing Data,WEST CREEK ROAD,APARX,Classification,Greater than 10 Years,17,1999,120,10,0.14
143.31350493854788,-37.40873484081565,7073,7373,24057,WESTERN HWY E BD 300M E OF EURAMBEEN-STREATHAM RD @163.4KM FROM MELBOURNE,MIDBLOCK,All Moves,WESTERN HWY 300M E OF EURAMBEEN-STREATHAM RD @163.4KM FROM MELBOURNE,2520,WESTERN HIGHWAY,WESTERN HIGHWAY,APARX,Classification,Greater than 10 Years,19,1997,1800,580,0.32
145.2147175525144,-37.988064744988655,7076,7376,26874,WALKER ST NE OF LONSDALE ST,INTERSECTION,All Moves,LONSDALE ST & WALKER ST,9999,Missing Data,WALKER STREET,TMVMT,Manual,Greater than 10 Years,17,1999,2800,0,0.0
145.27408924622156,-37.78302080792669,7080,7380,13148,YARRA_RD N OF PLYMOUNTH_RD,INTERSECTION,All Moves,PLYMOUTH RD/YARRA RD,9999,Missing Data,YARRA ROAD,SCATS,Scats,Greater than 10 Years,17,1999,5500,0,0.0
145.05592356566436,-37.85601571373164,7081,7381,22658,SEF/GIBDON ST OUTBOUND,INTERSECTION,All Moves,SVO_Map_LTD:415||SITE DESC: PRINCES FWY WEST WEST OF POINT COOK RD,9999,Missing Data,WILLS STREET,INDET,Freeway Data Station,Greater than 10 Years,18,1998,46000,0,0.0
144.33638642332332,-37.114771490176416,7082,7382,24226,OLD CALDER HWY N BD 500M N OF CALDER HWY @ 1.7KM FROM ELPHINSTONE,MIDBLOCK,All Moves,OLD CALDER HWY 500M N OF CALDER HWY @ 1.7KM FROM ELPHINSTONE,9999,Missing Data,WRIGHT STREET,APARX,Classification,Greater than 10 Years,18,1998,50,0,0.04
142.92867409917747,-36.66868529473356,7086,7386,21725,WIMMERA HWY E BD BTW DONALD STAWELL RD AND DAWS BRIDGE RD,MIDBLOCK,All Moves,WIMMERA HWY WIMMERA HWY BTW DONALD STAWELL RD AND DAWS BRIDGE RD,2110,WIMMERA HIGHWAY,WIMMERA HIGHWAY,APARX,Classification,Greater than 10 Years,18,1998,230,40,0.19
145.14338560156375,-37.980095896170845,7105,7602,10939,WESTALL RD SE of ROWAN RD,INTERSECTION,All Moves,ROWAN RD & WESTALL RD,5056,WESTALL ROAD,WESTALL ROAD EX,TMVMT,Manual,Greater than 10 Years,19,1997,0,0,0.0
145.61257720023383,-37.78153970794104,7106,7202,22812,WARBURTON HWY EB BTW HODDLE ST & YARRA JUNC.-NOOJEE,INTERSECTION,All Moves,SITE_NO: 220||SITE DESC: WARBURTON HWY BTW HODDLE ST & YARRA JUNC.-NOOJEE,2100,WARBURTON HIGHWAY,WARBURTON HIGHWAY,MOTSV,Manual,Greater than 10 Years,0,0,0,0,0.0
145.0496276876661,-37.73165300297577,7114,7706,6597,WATERDALE RD 50M AFTER LILLIMUR AVE,INTERSECTION,Scheduled PubTpt Bus flow,WATERDALE RD 50M AFTER LILLIMUR AVE,5744,WATERDALE ROAD,WATERDALE ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0
