SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,HF VicRoads Internal,VR Internal Stat,VR Internal Loc,NB_TYPE_SURVEY,Date,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,Daily_Total,Valid_Days
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/22/2006,113,89,81,75,69,81,67,53,54,53,58,52,42,45,55,26,25,39,29,36,19,29,26,33,21,23,34,37,38,29,36,39,40,49,69,74,76,82,111,143,137,177,155,160,166,166,140,182,188,190,181,204,228,186,219,188,207,201,214,202,217,211,218,178,207,184,193,182,180,170,173,169,150,144,134,122,116,122,86,108,100,88,118,82,110,105,92,89,74,73,55,72,56,50,43,36,10348,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/23/2006,21,33,27,19,17,20,13,18,12,11,7,14,13,12,12,9,18,15,17,14,26,32,29,42,39,47,79,93,101,140,163,163,177,181,172,142,160,123,139,140,180,159,195,162,160,177,161,185,179,178,193,181,160,168,184,188,220,231,182,188,202,211,194,200,243,236,255,288,256,249,297,287,293,260,248,190,186,162,142,125,120,138,118,96,124,112,91,101,92,56,77,69,46,51,51,27,12034,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/24/2006,33,30,23,22,24,17,14,15,19,13,4,15,9,13,9,4,11,12,7,15,18,22,32,47,55,52,77,108,93,133,149,190,196,199,150,165,146,113,150,153,180,171,188,154,188,164,193,174,172,196,176,169,180,195,169,188,203,208,209,188,223,229,214,232,221,245,245,232,266,290,288,265,256,241,262,244,188,167,137,137,142,122,140,129,146,117,110,136,117,111,102,75,78,64,65,68,12526,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/25/2006,53,35,25,24,22,23,18,24,11,12,9,15,5,16,10,18,11,7,13,16,26,17,33,47,40,54,79,108,118,133,163,171,199,181,166,175,147,127,145,173,158,164,147,154,179,193,184,173,206,165,189,196,199,225,181,236,195,191,217,188,212,243,218,193,229,236,284,243,313,281,290,304,278,300,219,235,204,172,170,151,144,137,112,167,122,116,125,140,113,93,110,106,80,75,64,52,12940,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/26/2006,44,47,33,34,22,21,26,14,22,19,12,12,7,11,15,5,15,13,15,21,17,24,23,52,41,49,97,90,109,137,150,163,190,194,159,148,148,153,153,154,175,169,162,169,181,188,173,161,171,180,178,213,175,205,174,186,183,214,224,215,225,218,221,189,243,266,258,254,288,287,279,288,287,268,255,234,212,210,178,154,135,145,135,127,123,123,147,137,123,128,102,113,111,78,68,64,13028,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/27/2006,51,56,43,29,35,19,24,21,15,20,19,14,16,15,13,14,11,15,14,21,17,22,34,51,36,66,109,103,113,136,138,141,218,174,167,168,166,146,163,142,170,158,173,147,194,173,186,151,206,199,218,197,201,197,232,206,205,212,194,215,224,229,253,223,240,261,305,268,303,270,333,264,341,255,214,229,224,204,150,189,164,167,115,133,127,122,122,121,127,103,122,124,117,99,108,88,13547,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/28/2006,91,87,89,72,64,81,58,47,52,43,33,47,36,37,27,24,23,35,26,15,16,25,27,24,29,30,38,55,57,50,80,96,79,74,105,110,129,140,154,184,176,163,196,188,193,191,219,224,200,240,223,236,225,200,226,222,216,223,227,219,221,211,236,218,235,242,220,177,201,185,175,154,156,159,164,128,132,125,112,137,119,118,133,129,114,102,93,93,93,105,105,112,82,97,106,107,11992,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/29/2006,100,81,89,73,100,83,68,53,55,47,53,63,64,47,44,38,42,40,41,31,41,39,37,34,30,30,35,33,28,36,43,39,35,52,38,48,57,68,79,100,101,127,113,127,128,167,151,165,178,191,212,199,219,212,177,239,191,188,218,203,228,221,184,199,201,189,229,190,198,180,169,168,165,138,139,123,122,100,92,116,95,93,102,106,112,93,87,118,83,76,66,64,77,60,49,45,10297,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/30/2006,40,29,36,20,24,17,17,18,22,13,16,19,16,15,7,11,11,15,9,19,22,22,24,47,40,51,87,97,100,118,128,163,200,182,159,146,145,133,131,158,144,151,163,154,156,181,153,167,169,207,172,181,191,175,193,159,227,197,197,215,212,216,218,220,233,250,281,232,253,296,304,306,296,270,269,199,196,137,137,129,132,125,119,107,96,99,90,88,89,80,74,48,67,62,50,62,12121,31
4821,VICTORIA_ST W OF BURNLEY_ST,002HF02,-37.81296,145.0083,6673,1513,7,1,10/31/2006,36,30,24,25,21,13,23,11,8,6,10,16,10,7,10,14,13,9,7,13,22,24,20,42,38,55,87,113,96,144,138,158,175,174,162,130,154,136,109,153,133,153,183,156,143,167,151,191,213,177,174,216,165,208,183,203,212,191,199,221,242,238,196,214,257,245,218,267,289,290,287,289,295,240,207,245,190,173,140,167,140,152,126,137,120,130,123,103,93,87,74,87,75,63,51,54,12379,31
