SCATS_ID,Station_Name
964,ABBOTTS/CLELANDS DEVELOPMENTS
968,ABBOTTS/GAINE/MONASH
972,ABBOTTS/NATIONAL
983,ABBOTTS/REMINGTON
1053,ABBOTTSFORD/HAINES
5300,ABERDEEN/PAKINGTON
5302,ABERDEEN/SHANNON
4975,AIRPORT DR/CENTRE RD
1154,AITKEN/GRAND
768,ALBERT NR BAMBURY
4440,ALBERT NR EADES
4234,ALBERT/BUCKLEY
4911,ALBERT/CECIL/OLD AUGHTIE
4912,ALBERT/CLARENDON
4447,ALBERT/CLARENDON
3265,ALBERT/DUNDAS/STATION
4445,ALBERT/GISBORNE
3263,ALBERT/GOWER
4243,ALBERT/IRVING
4733,ALBERT/LAKESIDE DRV
4446,ALBERT/LANSDOWNE
4913,ALBERT/MORAY
2294,ALBERT/MSAC ACCESS ROAD EXIT
3262,ALBERT/MURRAY
4444,ALBERT/NICHOLSON/LONSDALE
4448,ALBERT/POWLETT
3264,ALBERT/RAGLAN
4449,ALBERT/SIMPSON
3260,ALBERT/TYLER
3261,ALBERT/WOOD
3785,ALBION NR HOWARD
3787,ALBION NR THISTLE
4552,ALEXANDRA/ANDERSON
4549,ALEXANDRA/LINLITHGOW
4550,ALEXANDRA/SWAN BRIDGE                 VM6
4739,ALEXANDRA/WILLIAMS NTH
2678,ALFRIEDA NR MAIN EAST
6322,ALLAN NR ALBION
6323,ALLAN NR LAKE
4846,ALMA/WESTBURY
2186,AMAROO/CRAIGIEBURN BYPASS NB EXIT R
2799,AMIS BTN VISTA & BUCKLEY
5045,ANAKIE (BELL POST SC)
5110,ANAKIE NR BARTON
5127,ANAKIE NR KINLOCK
5099,ANAKIE/SEPARATION
4555,ANDERSON NR ACLAND
4945,ANDERSON NR RIDLEY
2642,ANDERSON RD/FOUNDRY RD
4956,ANDERSON/DURHAM/GLENGALA
4959,ANDERSON/FORREST/SUN/FRASER
1299,ANDERSON/GARDINER
149,ANDERSON/HARDY
6084,ANDREW FAIRLEY/SPC CROSSING
1055,APPLETON DOCK LINK/ENTERPRIZE
3665,APPLETON DOCK/ENTERPRIZE
2578,AQUATIC DR NR ROSAMOND RD
2549,AQUATIC NR ROSAMOND
1168,AQUEDUCT RD NR ERINNE CT
7093,AQUEDUCT/ST HELENA SHOP CENTRE
6069,ARCHER/WILMOT/POPLAR
6069,ARCHER/WILMOT/POPLAR
4493,ARDEN/ABBOTSFORD
4494,ARDEN/CURZON
4492,ARDEN/DRYBURGH/MACAULAY
4495,ARDEN/ERROL
3947,ARDEN/LAURENS
3764,ARDEN/LLOYD
6210,ARNOLD NR STEWART
6202,ARNOLD NR STEWART
2198,ARNOLD/SPRING
2734,ARTHUR/TAYLORS
1013,ASCOT VALE NR EDINBURGH
3832,ASCOT VALE NR MOONEE
1005,ASCOT VALE/GLADSTONE
1011,ASCOT VALE/KENT
2520,ASHLEY ST/CENTRAL WEST PLAZA
4950,ASHLEY/BARKLY
4948,ASHLEY/CHURCHILL
4949,ASHLEY/SOUTH
4951,ASHLEY/SUNSHINE/DEMPSTER
4690,ATHERTON NR DRUMMOND
2959,ATHERTON NR REGENT (OAK FIRE STATION)
4691,ATHERTON/ATKINSON/HANOVER
2957,ATHERTON/STATION
4276,AUBURN NR AIREDALE
2848,AUBURN NR BURGESS
4286,AUBURN NR CATO
4260,AUBURN/RATHMINES/LIDDIARD
4271,AUBURN/RIVERSDALE
5096,AUTUMN/PAKINGTON/GORDON
5096,AUTUMN/PAKINGTON/GORDON
5247,AVIATION NR RAILWAY (TRIHOLM)
5261,AVIATION ROAD/MAHER ROAD
5067,BACCHUS MARSH/CORIO VILL. SH.
5160,BACCHUS MARSH/GISBORNE(ROBERTSON)
5073,BACCHUS MARSH/PURNELL
5157,BACCHUS MARSH-GEELONG NR STATION
5800,BACCHUS-GISBORNE BTW MAIN & BENNETT
2055,BAKER NR JOHNSON
4134,BAKERS NR CATHERINE
2693,BALACLAVA NR EMPRESS
4096,BALACLAVA NR KINROSS
2691,BALACLAVA NR LABASSA
2748,BALACLAVA/BAMBRA
4075,BALACLAVA/HAWTHORN
4076,BALACLAVA/KAMBROOK
4074,BALACLAVA/KOOYONG
4077,BALACLAVA/NORMANBY
4073,BALACLAVA/ORRONG
3078,BALCOMBE BETWEEN BLUFF AND EBDEN
4873,BALCOMBE NR COMO PDE WEST
4865,BALCOMBE NR HAYDENS
4870,BALCOMBE NR MICHAEL
4619,BALCOMBE NR MOREY
4640,BALCOMBE/CHARMAN
4866,BALCOMBE/RESERVE
4641,BALCOMBE/SWANSTON
1157,BALLAN/BOLTON
5255,BALLAN/CAMBRIDGE
2503,BALLARAT RD/MOORE
5872,BALLARAT-BUNINYONG RD NR DAMACUS COLLEGE
5876,BALLARAT-BUNINYONG/BARKLY
5873,BALLARAT-BUNINYONG/HOCKING
5874,BALLARAT-BUNINYONG/RECREATION
517,BALLARTO RD NR GREENWOOD
761,BALLARTO/MCCLELLAND
2686,BALLARTO/MCCORMICKS
4069,BALWYN NR MILLAH
4057,BALWYN/BELMORE
4066,BALWYN/MONT ALBERT
4098,BAMBRA NR BUNDEERA
4081,BAMBRA/GLEN EIRA
3363,BANKSIA NR MOUNT
3362,BANKSIA/CAPE
3361,BANKSIA/DORA
3360,BANKSIA/LWR HEIDELBERG
4301,BANKSIA/STUDLEY
4301,BANKSIA/STUDLEY
4300,BANKSIA/UPPER HEIDELBERG
4299,BANKSIA/WATERDALE
3338,BANYULE NR BEVERLEY
3000,BARKERS NR FINDON
3005,BARKERS NR KILDARE
3004,BARKERS/AUBURN/WRIXON
3001,BARKERS/CHURCH/HIGH
3002,BARKERS/DENMARK/POWER
3003,BARKERS/GLENFERRIE
3434,BARKLY NR ALBERT
4253,BARKLY NR ARGYLE
4259,BARKLY NR CLARKE
2999,BARKLY NR SHELLEY
4246,BARKLY NR VICTORIA
5841,BARKLY NR VINCENT
4248,BARKLY NR WARLEIGH
336,BARKLY ST / RAILWAY GVE / RING RD
3427,BARKLY/ACLAND/MITFORD
3424,BARKLY/ALMA/PRINCES
3426,BARKLY/CARLISLE
4238,BARKLY/DROOP/HOPKINS/NICHOLS
4240,BARKLY/GORDON
3425,BARKLY/GREY/INKERMAN
1183,BARKLY/SUMMERHILL
5840,BARKLY/VINCENT
6231,BARNARD NR WATERLOO
6280,BARNARD/LUCAN/ARNOLD
6262,BARNARD/VIEW
5114,BARRABOOL RD / BELLEVUE AVE
3983,BARRY NR DUNSTAN
3980,BARRY/BLAIR
3996,BARRY/FORD ENTRANCE
3981,BARRY/KING/MAFFRA
3613,BARRY/KYABRAM
3611,BARRY/LONGFORD
2852,BARRYMORE NR ELGIN
5227,BARWON HEADS/BREAKWATER
5187,BARWON/SWANSTON
6681,BASS HWY/GRANTVILLE-GLEN ALVIE/PIER
6677,BASS HWY/STANLEY
4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C
4528,BATMAN/MELB PARK NTH ACCESS
973,BAXTER-TOORADIN NR PERYMAN
1140,BAXTER-TOORADIN/FULTONS/HAWKINS
2318,BAY NR JACK
4863,BAY NR LANSELL
2663,BAY NR LIARDET
4724,BAY NR POOL
4862,BAY NR STATION
3954,BAY NR WILLANSBY
1364,BAY RD NR FERNHILL RD
2293,BAY STREET/ROUSE ST
4723,BAY/BEACH
3032,BAY/BEACH
3102,BAY/BLUFF
4721,BAY/BRIDGE
2341,BAY/CHELTENHAM MARKET
4722,BAY/GRAHAM
3951,BAY/NEW/BARKLY
4864,BAY/RESERVE
625,BAYSWATER NR BELMONT
889,BAYSWATER NR GLEN PARK
624,BAYSWATER/CENTRAL
626,BAYSWATER/EASTFIELD
3714,BEACH NR ANTIBES
4868,BEACH NR BALCOMBE
3043,BEACH NR BAY & HIGH
3033,BEACH NR BAYVIEW
3037,BEACH NR BLUFF
3543,BEACH NR CANBERRA
3708,BEACH NR DIXON
3040,BEACH NR HERBERT
4869,BEACH NR MASEFIELD
3031,BEACH NR MELROSE
3035,BEACH NR NAPLES
3709,BEACH NR NEPEAN
3104,BEACH NR ORLANDO
3039,BEACH NR PRINCES
3087,BEACH NR RESERVE
3029,BEACH NR SMALL
3034,BEACH NR TRAMWAY PDE
3093,"BEACH RD - NEW ST, BAYSIDE"
3036,BEACH/CENTREWAY
3030,BEACH/HAMPTON/BRIDGE
751,BEACH/MCMAHONS
751,BEACH/MCMAHONS
730,BEACH/YOUNG/DANDENONG
3538,BEACONSFIELD NR HAROLD
3539,BEACONSFIELD NR LANGRIDGE
3014,BEACONSFIELD NR MCGREGOR
3038,BEACONSFIELD NR MILLS
3011,BEACONSFIELD NR VICTORIA
4836,BEACONSFIELD/ACLAND/JACKA
3010,BEACONSFIELD/BEACH/PICKLES
2311,BEACONSFIELD/COWDEROY
2311,BEACONSFIELD/COWDEROY
3012,BEACONSFIELD/KERFORD
513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD
904,BEDFORD NR LENA
905,BEDFORD NR TAGGELL
914,BEDFORD/DUBLIN
897,BEDFORD/WARRANDYTE
6158,BEECHWORTH NR NILMAR
6158,BEECHWORTH NR NILMAR
184,BELGRAVE-GEM NR EMERALD RES
521,BELGRAVE-HALLAM/FRAWLEY
534,BELGRAVE-HALLAM/YOUNG (CFA)
3075,BELL NR ALICE
3083,BELL NR GILMOUR (UPFIELD RAILWAY)
152,BELL NR HERBERT  (YARRA GLEN)
3057,BELL NR JESSIE
2946,BELL NR ORIEL & PLUNKETT
3064,BELL/ALBERT
3042,BELL/ALVA
3089,BELL/BREARLEY RESERVE(NTH SEWER PROJECT)
3069,BELL/BURGUNDY/UPR HEIDELBERG
3065,BELL/CHIFLEY
3050,BELL/CUMBERLAND
3068,BELL/EDWIN
3048,BELL/ELIZABETH
3055,BELL/ELM
3058,BELL/GILBERT
3060,BELL/HIGH
3076,BELL/HUDSON/MAIN
3052,BELL/MELVILLE/TURNER
3056,BELL/NICHOLSON/ELIZABETH
3066,BELL/ORIEL NTH
3077,BELL/ORIEL STH
3061,BELL/PLENTY
3051,BELL/REYNOLDS
3059,BELL/ST GEORGES
3053,BELL/SUSSEX
3091,BELL/THE BELL CENTRE ACCESS
3041,BELL/TURNER
3063,BELL/VICTORIA
3067,BELL/WATERDALE
5120,"Bellarine Hwy nr Murray Rd, Pt. Lonsdale"
5140,BELLARINE HWY NR PT LONSDALE
5192,BELLARINE HWY(Ormond Rd)/HUMBLE ST
5192,BELLARINE HWY(Ormond Rd)/HUMBLE ST
5212,BELLARINE HWY/ASH/SIMONS
5209,BELLARINE HWY/BOUNDARY/ORMOND
5209,BELLARINE HWY/BOUNDARY/ORMOND
5194,BELLARINE HWY/CHRISTIES RD/CLAREMONT DR
5194,BELLARINE HWY/CHRISTIES RD/CLAREMONT DR
5208,BELLARINE HWY/COPPARDS
5193,BELLARINE HWY/KENSINGTON
5193,BELLARINE HWY/KENSINGTON
5191,BELLARINE HWY/MELALUKA
5167,BELLARINE HWY/RAIL TRAIL NR EARLS RD
5167,BELLARINE HWY/RAIL TRAIL NR EARLS RD
